1,A# .NET
2,A-0 System
3,A+
4,A++
5,ABAP
6,ABC
7,ABC ALGOL
8,ACC
9,Accent
10,Ace DASL (Distributed Application Specification Language)
11,Action!
12,ActionScript
13,Actor
14,Ada
15,Adenine
16,Agda
17,Agilent VEE
18,Agora
19,AIMMS
20,Aldor
21,Alef
22,ALF
23,ALGOL 58
24,ALGOL 60
25,ALGOL 68
26,ALGOL W
27,Alice
28,Alma-0
29,AmbientTalk
30,Amiga E
31,AMOS
32,AMPL
33,AngelScript
34,Apex
35,APL
36,App Inventor for Android's visual block language
37,AppleScript
38,APT
39,Arc
40,ARexx
41,Argus
42,Assembly language
43,AutoHotkey
44,AutoLISP / Visual LISP
45,Averest
46,AWK
47,Axum
48,B
49,Babbage
50,Ballerina
51,Bash
52,BASIC
53,Batch file (Windows/MS-DOS)
54,bc
55,BCPL
56,BeanShell
57,Beef
58,Bertrand
59,BETA
60,BLISS
61,Blockly
62,BlooP
63,Boo
64,Boomerang
65,Bosque
66,Bourne shell�(including�bash�and�ksh)
67,C
68,C--(C minus minus)
69,C++(C plus plus) � ISO/IEC 14882
70,C*
71,C#(C sharp) ISO/IEC 23270
72,C/AL
73,Cach? ObjectScript
74,C Shell (csh)
75,Caml
76,Cayenne
77,CDuce
78,Cecil
79,Cesil
80,C?u
81,Ceylon
82,CFEngine
83,Cg
84,Ch
85,Chapel
86,Charm
87,CHILL
88,CHIP-8
89,chomski
90,ChucK
91,Cilk
92,Citrine
93,CL�(IBM)
94,Claire
95,Clarion
96,Clean
97,Clipper
98,CLIPS
99,CLIST
100,Clojure
101,CLU
102,CMS-2
103,COBOL�� ISO/IEC 1989
104,CobolScript�� COBOL Scripting language
105,Cobra
106,CoffeeScript
107,ColdFusion
108,COMAL
109,Combined Programming Language�(CPL)
110,COMIT
111,Common Intermediate Language�(CIL)
112,Common Lisp�(also known as CL)
113,COMPASS
114,Component Pascal
115,Constraint Handling Rules�(CHR)
116,COMTRAN
117,Cool
118,Coq
119,Coral 66
120,CorVision
121,COWSEL
122,CPL
123,Cryptol
124,Crystal
125,Csound
126,Css
127,Cuneiform
128,Curl
129,Curry
130,Cybil
131,Cyclone
132,Cypher Query Language
133,Cython
134,CEEMAC
135,CEEMAC
136,D
137,DAML
138,DASL�(Datapoint's Advanced Systems Language)
139,Dart
140,Darwin
141,DataFlex
142,Datalog
143,DATATRIEVE
144,dBase
145,dc
146,DCL
147,DinkC
148,DIBOL
149,Dog
150,Draco
151,DRAKON
152,Dylan
153,DYNAMO
154,DAX (Data Analysis Expressions)
155,E
156,Ease
157,Easy PL/I
158,EASYTRIEVE PLUS
159,eC
160,ECMAScript
161,Edinburgh IMP
162,EGL
163,Eiffel
164,ELAN
165,Elixir
166,Elm
167,Emacs Lisp
168,Emerald
169,Epigram
170,EPL (Easy Programming Language)
171,EPL (Eltron Programming Language)
172,Erlang
173,es
174,Escher
175,ESPOL
176,Esterel
177,Etoys
178,Euclid
179,Euler
180,Euphoria
181,EusLisp Robot Programming Language
182,CMS EXEC�(EXEC)
183,EXEC 2
184,Executable UML
185,Ezhil
186,F
187,F#
188,F*
189,Factor
190,Fantom
191,FAUST
192,FFP
193,fish
194,Fj?lnir
195,FL
196,Flavors
197,Flex
198,FlooP
199,FLOW-MATIC
200,FOCAL
201,FOCUS
202,FOIL
203,FORMAC
204,@Formula
205,Forth
206,Fortran�� ISO/IEC 1539
207,Fortress
208,FP
209,Franz Lisp
210,Futhark
211,F-Script
212,Game Maker Language(Scripting language)
213,GameMonkey Script
214,GAMS
215,GAP
216,G-code
217,GDScript
218,Genie
219,GDL
220,GEORGE
221,GIT
222,GLSL
223,GNU E
224,GNU Guile
225,Go
226,Go!
227,GOAL
228,G?del
229,Golo
230,GOM (Good Old Mad)
231,Google Apps Script
232,Gosu
233,GOTRAN
234,GPSS
235,GraphTalk
236,GRASS
237,Grasshopper
238,Groovy
239,Html
240,Hack
241,HAGGIS
242,HAL/S
243,Halide (programming language)
244,Hamilton C shell
